                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                  1.071,                0.78456,                  1.129,                0.62763,                0.47288,                0.50268,                0.30022,                 1.5063,                 1.5475,                 1.4239,               0.002773,               0.002773,               0.002773
                     75,                 1.0926,                0.81397,                 1.1304,                0.56851,                0.51951,                0.50833,                0.30297,                   1.53,                  1.492,                 1.4496,               0.002674,               0.002674,               0.002674
                     76,                 1.0923,                0.80337,                 1.1276,                0.61305,                0.50812,                0.51294,                0.30549,                 1.5027,                 1.4831,                 1.4219,               0.002575,               0.002575,               0.002575
                     77,                 1.0595,                0.78113,                 1.1247,                0.61197,                0.49376,                0.50986,                0.30929,                 1.4937,                 1.4971,                 1.4245,               0.002476,               0.002476,               0.002476
                     78,                 1.0909,                0.79982,                 1.1301,                0.59243,                0.49855,                0.50249,                 0.2993,                 1.5257,                 1.5256,                 1.4329,               0.002377,               0.002377,               0.002377
                     79,                 1.0669,                0.77983,                 1.1261,                0.60124,                0.49909,                0.50568,                0.30202,                 1.5179,                  1.551,                 1.4392,               0.002278,               0.002278,               0.002278
                     80,                 1.0533,                0.77573,                 1.1137,                0.59353,                0.49349,                 0.4938,                0.29582,                 1.5176,                 1.5512,                 1.4356,               0.002179,               0.002179,               0.002179
                     81,                 1.0739,                0.77096,                 1.1211,                0.60599,                0.50892,                0.50548,                0.29829,                 1.5045,                 1.5078,                 1.4256,                0.00208,                0.00208,                0.00208
                     82,                 1.0853,                0.78798,                  1.127,                0.60229,                0.49713,                0.49163,                0.29625,                 1.4952,                 1.5436,                 1.4115,               0.001981,               0.001981,               0.001981
                     83,                 1.0588,                0.76885,                 1.1137,                0.60638,                0.49714,                0.50452,                0.30134,                  1.506,                 1.5147,                 1.4241,               0.001882,               0.001882,               0.001882
                     84,                 1.0386,                0.74216,                 1.1021,                 0.6024,                0.49777,                0.50703,                0.30151,                  1.514,                 1.5284,                 1.4399,               0.001783,               0.001783,               0.001783
                     85,                 1.0423,                0.74813,                 1.1019,                0.60619,                0.50494,                0.51297,                 0.3038,                 1.5181,                 1.5515,                 1.4363,               0.001684,               0.001684,               0.001684
                     86,                 1.0497,                0.74273,                 1.0995,                0.65192,                0.47664,                0.50636,                0.29997,                   1.53,                 1.5299,                 1.4512,               0.001585,               0.001585,               0.001585
                     87,                 1.0193,                0.74289,                 1.0994,                0.63315,                 0.4985,                0.51454,                0.30794,                 1.5077,                 1.5238,                 1.4286,               0.001486,               0.001486,               0.001486
                     88,                 1.0175,                0.73814,                 1.1084,                0.61839,                0.50494,                0.50205,                0.29903,                 1.5263,                 1.5739,                 1.4475,               0.001387,               0.001387,               0.001387
                     89,                  1.024,                0.73144,                 1.0956,                 0.5886,                0.52516,                0.51023,                0.30426,                 1.5268,                 1.5314,                 1.4525,               0.001288,               0.001288,               0.001288
                     90,                 1.0001,                0.67675,                 1.0834,                0.60906,                0.51644,                0.50181,                0.29537,                 1.5386,                 1.4974,                 1.4851,               0.001189,               0.001189,               0.001189
                     91,                0.99247,                0.63657,                   1.07,                0.60348,                0.50419,                0.50015,                0.30127,                 1.5289,                 1.4896,                   1.45,                0.00109,                0.00109,                0.00109
                     92,                0.96668,                0.62051,                 1.0498,                 0.6026,                0.50006,                0.49484,                0.29521,                 1.5235,                 1.5608,                 1.4445,               0.000991,               0.000991,               0.000991
                     93,                0.95397,                0.60922,                  1.055,                0.60786,                0.50231,                0.50252,                0.29955,                 1.5195,                 1.5428,                 1.4479,               0.000892,               0.000892,               0.000892
                     94,                 0.9613,                0.60433,                 1.0485,                 0.6162,                0.49894,                0.50563,                0.30138,                 1.5187,                 1.5229,                 1.4402,               0.000793,               0.000793,               0.000793
                     95,                0.94635,                0.59554,                 1.0537,                0.62133,                0.49289,                0.50384,                0.30076,                 1.5233,                 1.5348,                 1.4398,               0.000694,               0.000694,               0.000694
                     96,                0.93914,                0.58618,                 1.0394,                0.60522,                0.50347,                0.49949,                0.29971,                 1.5175,                 1.5525,                 1.4416,               0.000595,               0.000595,               0.000595
                     97,                0.92813,                0.57955,                 1.0425,                0.60867,                0.50885,                0.50035,                0.30019,                 1.5316,                 1.5412,                 1.4528,               0.000496,               0.000496,               0.000496
                     98,                0.92481,                0.57132,                 1.0412,                0.61591,                0.50973,                0.50028,                0.29986,                   1.52,                 1.5478,                 1.4426,               0.000397,               0.000397,               0.000397
                     99,                0.92857,                0.57661,                 1.0376,                0.59838,                0.50464,                0.49444,                0.29705,                 1.5204,                 1.5548,                 1.4442,               0.000298,               0.000298,               0.000298
