                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.0155,                0.72198,                 1.0737,                0.57241,                 0.4899,                0.49315,                 0.2546,                 1.8518,                 1.7001,                 1.9582,               0.001387,               0.001387,               0.001387
                     89,                 1.0257,                0.73703,                 1.0886,                0.60959,                0.45344,                0.47974,                0.24659,                 1.8557,                 1.7462,                 1.9739,               0.001288,               0.001288,               0.001288
                     90,                0.98862,                0.72712,                 1.0547,                0.64215,                0.40331,                0.46016,                0.23363,                 1.8314,                  1.832,                 1.9917,               0.001189,               0.001189,               0.001189
                     91,                 0.9832,                0.69647,                 1.0507,                0.57586,                0.46286,                0.49812,                0.25038,                 1.8413,                 1.6627,                 1.9832,                0.00109,                0.00109,                0.00109
                     92,                0.94425,                0.66129,                 1.0288,                0.57484,                0.49848,                0.52379,                0.25893,                 1.8406,                 1.5517,                 2.0079,               0.000991,               0.000991,               0.000991
                     93,                0.93553,                0.65409,                 1.0493,                0.60645,                0.45528,                0.50682,                0.25896,                 1.8359,                 1.5663,                  2.039,               0.000892,               0.000892,               0.000892
                     94,                0.93883,                0.64929,                  1.034,                0.59676,                0.45966,                0.49929,                0.25967,                 1.8397,                 1.5886,                 2.0574,               0.000793,               0.000793,               0.000793
                     95,                0.92206,                0.62718,                 1.0148,                0.57516,                0.46495,                0.48892,                 0.2484,                 1.8586,                 1.6717,                 2.0708,               0.000694,               0.000694,               0.000694
                     96,                0.90474,                0.63675,                 1.0308,                0.56329,                0.47229,                0.47719,                0.24622,                  1.872,                 1.7058,                 2.0864,               0.000595,               0.000595,               0.000595
                     97,                0.90351,                0.61669,                 1.0145,                0.58146,                 0.4666,                 0.4814,                0.24862,                 1.8524,                 1.7155,                 2.0609,               0.000496,               0.000496,               0.000496
                     98,                0.92709,                0.63582,                 1.0211,                 0.6131,                 0.4596,                0.47886,                0.24745,                 1.8485,                 1.7447,                 2.0474,               0.000397,               0.000397,               0.000397
                     99,                0.91158,                0.61508,                 1.0089,                0.58243,                 0.4697,                0.48257,                0.24582,                 1.8556,                 1.7297,                 2.0652,               0.000298,               0.000298,               0.000298
